068.927;+51.019;     122;122; ; ; ;A; ->;04 31 52.0; 4;  ;+50 55.0; 6;);    8.5; ;  1.5;); ;    ;    ;    ;
069.267;+29.684;     123;123; ; ;*;A;   ;04 33 55.0; 4;  ;+29 35.0; 2; ;  204.0; ; 32.0; ;<; 1.0;    ;    ;2C 404, W7
070.214; -2.221;     124;124; ; ; ;A;   ;04 38 20.0; 2;  ;-02 19.0;11;);    8.5; ;  2.0;); ;    ;    ;    ;
071.280;+37.541;     125;125; ; ; ;B;   ;04 41 45.0; 4; ^;+37 27.0; 4;);   12.5; ;  2.0;); ;    ;    ;    ;
071.385; +3.290;     126;126; ; ; ;B; <-;04 42 55.0; 3;  ;+03 12.0; 8;);   10.0; ;  2.0;); ;    ;    ;    ;MSH 04+010?
071.694;+44.839;     127;127; ; ; ;B; <-;04 43 10.0;10; v;+44 45.0; 7; ;   12.0; ;  2.0;); ;    ;    ;    ;
071.965;+50.522;     128;128; ; ; ;B;   ;04 44 01.0; 4;  ;+50 26.0; 6; ;   11.5; ;  2.5; ; ;    ;    ;    ;2C 414?
072.543;+45.069;     129;129; ; ; ;B;   ;04 46 33.0; 4;  ;+44 59.0; 4; ;   21.5; ;  3.5; ; ;    ;    ;    ;
073.187;+51.849;     130;130; ; ; ;B;<->;04 48 50.0; 3;  ;+51 46.0; 6;);    9.5; ;  2.0;); ;    ;    ;    ;
073.093;+29.249;     131;131; ; ; ;A;   ;04 49 13.0; 5; ^;+29 10.0; 4;);   16.0; ;  5.5; ; ;    ;    ;    ;
073.991;+22.912;     132;132; ; ;*;A;   ;04 52 57.0; 2;  ;+22 50.0; 6; ;   16.5; ;  2.5;); ;    ;    ;    ;
075.764;+25.404;     133;133; ; ;*;A;   ;04 59 59.0; 3;  ;+25 20.0; 3;);   23.0; ;  4.0; ;<; 4.0;    ;    ;2C 439 ^ ->
076.190;+38.118;     134;134; ; ;*;A;   ;05 01 21.0; 4;  ;+38 03.0; 8; ;   85.0; ; 11.0; ;<; 3.0;    ;    ;2C 440
078.388; +1.258;     135;135; ; ; ;A; ->;05 10 58.0; 3;  ;+01 12.0;12; ;   12.0; ;  3.0; ; ;    ;    ;    ;MSH 05+02, DWD
079.170;+51.455;     136;136; ; ; ;B;   ;05 12 45.0; 2;  ;+51 24.0; 6;);    8.0; ;  1.5; ; ;    ;    ;    ;DWD
080.185;+50.850;     137;137; ; ; ;A;   ;05 16 50.0; 3;  ;+50 48.0; 6;);    8.5; ;  1.5;); ;    ;    ;    ;2C 456 ^
080.055;+14.000;     138;138; ; ; ;A;   ;05 17 23.0; 3;  ;+13 57.0; 4; ;   19.5; ;  5.0; ; ;    ;    ;    ;
080.459;+22.715;     139;139;); ; ;A;   ;05 18 49.0; 8;  ;+22 40.0;10; ;   19.0; ;  6.0; ; ;    ;    ;    ;2C 463 <-
081.155; +8.961;     140;140; ; ; ;B;   ;05 21 53.0; 5;  ;+08 55.0; 8;);   10.0; ;  5.5; ; ;    ;    ;    ;2C 472
081.434;+32.743;     141;141; ; ; ;A;   ;05 22 28.0; 3;  ;+32 42.0; 8; ;   20.5; ;  6.0; ;<; 4.0;    ;    ;2C 470 v <-?
082.045;+12.857;     142;142;); ; ;B;   ;05 25 22.0; 6;  ;+12 49.0; 8;);    9.0; ;  2.0;); ;    ;    ;    ;
083.612;+36.533;     143;143; ; ; ;A; <-;05 31 04.0; 3;  ;+36 30.0; 5;);   11.5; ;  2.5; ; ;    ;    ;    ;
083.634;+22.019;     144;144; ; ; ; ;   ;05 31 31.5;  ;  ;+21 59.2;  ; ; 1500.0;W;     ; ; ;    ;    ;    ;Standard source: Crab nebula (NGC 1952)
083.815; -5.269;     145;145; ; ; ; ;   ;05 32 48.0;12;  ;-05 18.0; 4; ;   45.0; ;  4.0; ;>; 8.0;    ;    ;MSH 05-011, W10: Orion nebula (NGC 1976)
084.247; -2.887;     146;146; ; ; ;A;   ;05 34 29.0; 2; v;-02 55.0;11;);    9.5; ;  3.5; ; ;    ;    ;    ;
085.661;+49.873;     147;147; ; ;*;A;   ;05 38 46.0; 4;  ;+49 51.0; 6; ;   63.0; ; 12.0; ;<; 2.5;    ;    ;2C 485 <-
086.013;+51.022;     148;148; ; ; ; ;   ;05 40 07.0; 0;  ;+51 00.0;30; ;   11.0; ;  4.0; ; ;    ;    ;    ;
087.576;+28.697;     149;149; ; ; ;A;   ;05 47 08.0; 8;  ;+28 41.0; 7; ;   12.0; ;  2.0; ; ;    ;    ;    ;
089.576;+32.487;     150;150; ; ; ;A;   ;05 55 02.0; 4;  ;+32 29.0; 6;);    8.5; ;  1.5;); ;    ;    ;    ;
090.839;+42.181;     151;151; ; ; ;A;   ;05 59 47.0; 2;  ;+42 11.0; 6;);    8.0; ;  1.5;); ;    ;    ;    ;
091.349;+20.495;     152;152; ; ; ;A;   ;06 02 25.0; 5;  ;+20 30.0;12; ;   12.5; ;  2.5; ; ;    ;    ;    ;
092.396;+48.057;     153;153; ; ;*;A;   ;06 05 47.0; 5;  ;+48 04.0; 4;);   15.0; ;  2.5;); ;    ;    ;    ;2C 524
093.456;+26.052;     154;154; ; ;*;A;   ;06 10 43.0; 7;  ;+26 04.0; 4; ;   26.0; ;  5.0; ; ;    ;    ;    ;2C 531 v <-
094.376;+53.915;     155;155;); ; ;B;   ;06 13 25.0; 6;  ;+53 56.0;10; ;   12.5; ;  3.0; ; ;    ;    ;    ;
094.357;+22.797;     156;156; ; ; ;A;   ;06 14 24.0; 5;  ;+22 49.0; 5; ;   14.0; ;  2.5;); ;    ;    ;    ;2C 539 ->
094.407;+22.697;     157;157; ; ; ; ;   ;06 14 36.0;12;  ;+22 43.0; 2; ;  270.0; ; 40.0; ;>;30.0;    ;    ;2C 537, W14, IC443
095.421;+14.492;     158;158; ; ;*;A;   ;06 18 50.0; 5;  ;+14 31.0; 8; ;   21.5; ;  4.0; ; ;    ;    ;    ;
096.304;+40.238;     159;159; ; ;*;A;   ;06 21 43.0; 2;  ;+40 16.0; 5; ;   19.0; ;  3.5; ; ;    ;    ;    ;2C 548 ^ ->
096.369;+26.888;     160;160;); ; ;A;   ;06 22 21.0; 4;  ;+26 55.0; 6;);    8.5; ;  2.0;); ;    ;    ;    ;2C 546 ^ ?
096.783; -5.965;     161;161; ; ;*;A;   ;06 24 41.0; 3;  ;-05 56.0;10; ;   78.0; ; 30.0; ;<; 3.0;    ;    ;2C 553, MSH 06-04
097.862;+25.080;     162;162; ; ; ;A;   ;06 28 22.0; 4;  ;+25 07.0; 7; ;   10.5; ;  2.0;); ;    ;    ;    ;2C 559 <-
097.991; +5.163;     163;163; ; ; ; ;   ;06 29 18.0;12;  ;+05 12.0; 5; ;  450.0; ;150.0; ;~;60.0;    ;    ;MSH 06+08, W16, Rosette Nebula (NGC 2237)
098.051;+16.479;     164;164;); ; ;A;   ;06 29 19.0; 5;  ;+16 31.0; 7;);   11.0; ;  2.0;); ;    ;    ;    ;
100.797;+23.383;     165;165;); ; ;B;   ;06 40 09.0; 5;  ;+23 26.0;10; ;   12.5; ;  3.5; ; ;    ;    ;    ;
101.360;+21.280;     166;166; ; ;*;A;   ;06 42 27.0; 5;  ;+21 20.0; 4;);   16.0; ;  2.5;); ;    ;    ;    ;2C 579 ^
101.317; +5.547;     167;167; ; ; ;A;   ;06 42 36.0; 6;  ;+05 36.0;10;);    8.0; ;  2.5;); ;    ;    ;    ;MSH 06+011
102.010; -6.323;     168;168; ; ; ;B;   ;06 45 36.0; 5;  ;-06 16.0;12; ;    8.0; ;  2.5;); ;    ;    ;    ;MSH 06-010 ?
102.925;+69.208;     169;169; ; ; ; ;   ;06 46 16.0;10;  ;+69 16.0;15; ;    8.0; ;  3.0; ; ;    ;    ;    ;
